Time,Country Name,"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",GDP (current US$) [NY.GDP.MKTP.CD]
2019,Afghanistan,11.08500004,18904490263
2019,Albania,11.47000027,15401830754
2019,Algeria,10.49499989,1.71767E+11
2019,American Samoa,..,647000000
2019,Andorra,..,3155065488
2019,Angola,9.480999947,69309110146
2019,Antigua and Barbuda,..,1687533333
2019,Argentina,9.840000153,4.47755E+11
2019,Armenia,12.19999981,13619291361
2019,Aruba,..,3368970253
2019,Australia,5.159999847,1.39223E+12
2019,Austria,4.489999771,4.44621E+11
2019,Azerbaijan,4.849999905,48174235294
2019,"Bahamas, The",10.05099964,13192800000
2019,Bahrain,1.180999994,38653318085
2019,Bangladesh,4.381999969,3.51238E+11
2019,Barbados,8.409999847,5324250000
2019,Belarus,4.159999847,64409647194
2019,Belgium,5.360000134,5.35831E+11
2019,Belize,9.050000191,2416500000
2019,Benin,1.465999961,14391686309
2019,Bermuda,..,7423465000
2019,Bhutan,2.720000029,2535657069
2019,Bolivia,3.680000067,40895322844
2019,Bosnia and Herzegovina,15.68999958,20202479538
2019,Botswana,20.09000015,16695928793
2019,Brazil,12.05000019,1.87327E+12
2019,British Virgin Islands,..,..
2019,Brunei Darussalam,6.920000076,13469422959
2019,Bulgaria,4.230000019,68915875215
2019,Burkina Faso,4.69299984,16178162030
2019,Burundi,0.870999992,2576518846
2019,Cabo Verde,12.20699978,1981845741
2019,Cambodia,0.145999998,27089389787
2019,Cameroon,3.628999949,39670977333
2019,Canada,5.659999847,1.74202E+12
2019,Cayman Islands,..,5943589104
2019,Central African Republic,5.755000114,2221301401
2019,Chad,1.120000005,11314951343
2019,Channel Islands,6.77699995,..
2019,Chile,7.269999981,2.78585E+11
2019,China,4.559999943,1.42799E+13
2019,Colombia,9.960000038,3.2311E+11
2019,Comoros,8.062999725,1195019559
2019,"Congo, Dem. Rep.",4.43599987,51775830726
2019,"Congo, Rep.",20.61199951,12750339023
2019,Costa Rica,10.81000042,64417670083
2019,Cote d'Ivoire,2.400000095,58539424930
2019,Croatia,6.619999886,62327983580
2019,Cuba,1.200000048,1.03428E+11
2019,Curacao,..,2995185475
2019,Cyprus,7.070000172,25944504646
2019,Czechia,2.00999999,2.52548E+11
2019,Denmark,5.019999981,3.46499E+11
2019,Djibouti,26.31500053,3088853639
2019,Dominica,..,611537037
2019,Dominican Republic,6.179999828,88941299734
2019,Ecuador,3.809999943,1.08108E+11
2019,"Egypt, Arab Rep.",7.850999832,3.03081E+11
2019,El Salvador,4.170000076,26881140000
2019,Equatorial Guinea,8.277000427,11364133802
2019,Eritrea,5.703999996,..
2019,Estonia,4.510000229,31081901909
2019,Eswatini,22.78199959,4495264161
2019,Ethiopia,3.219000101,95912590628
2019,Faroe Islands,..,3275706960
2019,Fiji,4.441999912,5481675173
2019,Finland,6.690000057,2.68515E+11
2019,France,8.409999847,2.72887E+12
2019,French Polynesia,12.13500023,6001384760
2019,Gabon,20.69499969,16874405460
2019,"Gambia, The",4.179999828,1813608280
2019,Georgia,11.56999969,17470436259
2019,Germany,3.140000105,3.88823E+12
2019,Ghana,3.463000059,68337537816
2019,Gibraltar,..,..
2019,Greece,17.30999947,2.05257E+11
2019,Greenland,..,2994332324
2019,Grenada,..,1213485185
2019,Guam,5.477000237,6366000000
2019,Guatemala,2.190000057,77170421168
2019,Guinea,5.019999981,13442861444
2019,Guinea-Bissau,3.174999952,1439638443
2019,Guyana,13.52000046,5173760192
2019,Haiti,13.78100014,14785839383
2019,Honduras,5.550000191,25089976947
2019,"Hong Kong SAR, China",2.920000076,3.63052E+11
2019,Hungary,3.420000076,1.63989E+11
2019,Iceland,3.50999999,24826102120
2019,India,6.510000229,2.83155E+12
2019,Indonesia,3.589999914,1.1191E+12
2019,"Iran, Islamic Rep.",10.73999977,2.83747E+11
2019,Iraq,15.10999966,2.33636E+11
2019,Ireland,4.949999809,3.99322E+11
2019,Isle of Man,..,7315388052
2019,Israel,3.799999952,4.02471E+11
2019,Italy,9.949999809,2.0113E+12
2019,Jamaica,4.989999771,15830768550
2019,Japan,2.349999905,5.12332E+12
2019,Jordan,16.79999924,44993992365
2019,Kazakhstan,4.800000191,1.81667E+11
2019,Kenya,5.010000229,1.0038E+11
2019,Kiribati,..,177935349.3
2019,"Korea, Dem. People's Rep.",2.782999992,..
2019,"Korea, Rep.",3.75,1.65142E+12
2019,Kosovo,..,7899879086
2019,Kuwait,2.155999899,1.36197E+11
2019,Kyrgyz Republic,4.25,8871026074
2019,Lao PDR,3.273000002,18740559554
2019,Latvia,6.309999943,34343961073
2019,Lebanon,11.30000019,51953744530
2019,Lesotho,16.87999916,2453980835
2019,Liberia,3.01699996,3319596500
2019,Libya,19.61199951,69252306372
2019,Liechtenstein,..,6427248943
2019,Lithuania,6.260000229,54751510088
2019,Luxembourg,5.590000153,69825641851
2019,"Macao SAR, China",1.75,55204758070
2019,Madagascar,1.840999961,14104664515
2019,Malawi,4.93200016,11025371147
2019,Malaysia,3.25999999,3.65175E+11
2019,Maldives,4.559999943,5609400722
2019,Mali,1.618999958,17280251194
2019,Malta,3.619999886,15725847979
2019,Marshall Islands,..,232092300
2019,Mauritania,10.40200043,8066126312
2019,Mauritius,6.329999924,14436353898
2019,Mexico,3.480000019,1.26901E+12
2019,"Micronesia, Fed. Sts.",..,412000000
2019,Moldova,5.099999905,11971345003
2019,Monaco,..,7383745662
2019,Mongolia,5.44299984,14206359007
2019,Montenegro,15.13000011,5542053845
2019,Morocco,9.241999626,1.2892E+11
2019,Mozambique,3.464999914,15390039242
2019,Myanmar,0.409999996,68697759361
2019,Namibia,20.00200081,12541928105
2019,Nauru,..,118724073.8
2019,Nepal,10.59899998,34186190996
2019,Netherlands,3.380000114,9.10194E+11
2019,New Caledonia,10.88000011,9438130987
2019,New Zealand,4.110000134,2.13435E+11
2019,Nicaragua,5.202000141,12596636042
2019,Niger,0.551999986,12916455161
2019,Nigeria,5.205999851,4.4812E+11
2019,North Macedonia,17.38999939,12606338449
2019,Northern Mariana Islands,..,1182000000
2019,Norway,3.690000057,4.04941E+11
2019,Oman,1.850000024,88060858257
2019,Pakistan,4.829999924,3.20909E+11
2019,Palau,..,278900000
2019,Panama,6.329999924,66984400000
2019,Papua New Guinea,2.431999922,24751344561
2019,Paraguay,6.590000153,37925338329
2019,Peru,3.380000114,2.28323E+11
2019,Philippines,2.24000001,3.76823E+11
2019,Poland,3.279999971,5.96055E+11
2019,Portugal,6.460000038,2.39987E+11
2019,Puerto Rico,8.300000191,1.05126E+11
2019,Qatar,0.100000001,1.75838E+11
2019,Romania,3.910000086,2.51019E+11
2019,Russian Federation,4.5,1.69311E+12
2019,Rwanda,12.43000031,10356327149
2019,Samoa,9.147000313,912944537.8
2019,San Marino,..,1616188702
2019,Sao Tome and Principe,14.07800007,427425039.7
2019,Saudi Arabia,5.639999866,8.03616E+11
2019,Senegal,2.859999895,23398811424
2019,Serbia,10.39000034,51514222382
2019,Seychelles,..,1684373490
2019,Sierra Leone,3.193000078,4076578543
2019,Singapore,3.099999905,3.75473E+11
2019,Sint Maarten (Dutch part),..,..
2019,Slovak Republic,5.75,1.0572E+11
2019,Slovenia,4.449999809,54331588482
2019,Solomon Islands,0.744000018,1619154819
2019,Somalia,18.82799911,6485000000
2019,South Africa,25.54000092,3.88532E+11
2019,South Sudan,12.19900036,..
2019,Spain,14.10000038,1.39432E+12
2019,Sri Lanka,4.670000076,89014990792
2019,St. Kitts and Nevis,..,1107840741
2019,St. Lucia,15.31999969,2094201725
2019,St. Martin (French part),..,..
2019,St. Vincent and the Grenadines,19.09000015,910149703.7
2019,Sudan,17.58600044,32338079165
2019,Suriname,8.029000282,4016040575
2019,Sweden,6.829999924,5.3388E+11
2019,Switzerland,4.389999866,7.21369E+11
2019,Syrian Arab Republic,8.741999626,22443299775
2019,Tajikistan,7.044000149,8300784857
2019,Tanzania,2.213999987,61136873692
2019,Thailand,0.720000029,5.44081E+11
2019,Timor-Leste,4.452000141,2028551628
2019,Togo,3.707000017,7220395248
2019,Tonga,2.243999958,512057749
2019,Trinidad and Tobago,3.519999981,23849557812
2019,Tunisia,15.13000011,41906113686
2019,Turkiye,13.67000008,7.59937E+11
2019,Turkmenistan,4.225999832,45231428571
2019,Turks and Caicos Islands,..,1197415000
2019,Tuvalu,..,54223149.11
2019,Uganda,3.553999901,35353060634
2019,Ukraine,8.18999958,1.53883E+11
2019,United Arab Emirates,2.329999924,4.1799E+11
2019,United Kingdom,3.74000001,2.85706E+12
2019,United States,3.670000076,2.1381E+13
2019,Uruguay,8.729999542,61231149881
2019,Uzbekistan,5.861000061,59907674027
2019,Vanuatu,1.756999969,936526267.6
2019,"Venezuela, RB",5.092000008,..
2019,Vietnam,1.679999948,3.34365E+11
2019,Virgin Islands (U.S.),12.35000038,4117000000
2019,West Bank and Gaza,25.34000015,17133500000
2019,"Yemen, Rep.",12.97799969,..
2019,Zambia,5.539999962,23308667781
2019,Zimbabwe,7.369999886,21832234926
2019,Africa Eastern and Southern,7.121663747,1.00905E+12
2019,Africa Western and Central,4.261414006,7.94719E+11
2019,Arab World,10.16515827,2.81836E+12
2019,Caribbean small states,6.844145222,77428424854
2019,Central Europe and the Baltics,3.780900528,1.67508E+12
2019,Early-demographic dividend,6.199363711,1.1638E+13
2019,East Asia & Pacific,3.816317463,2.70283E+13
2019,East Asia & Pacific (excluding high income),3.895632412,1.72079E+13
2019,East Asia & Pacific (IDA & IBRD countries),3.911264577,1.71857E+13
2019,Euro area,7.522524014,1.34182E+13
2019,Europe & Central Asia,6.643393941,2.291E+13
2019,Europe & Central Asia (excluding high income),7.212611606,3.24864E+12
2019,Europe & Central Asia (IDA & IBRD countries),6.727546853,4.15804E+12
2019,European Union,6.679809887,1.56934E+13
2019,Fragile and conflict affected situations,5.981660907,1.80439E+12
2019,Heavily indebted poor countries (HIPC),4.634468114,7.97572E+11
2019,High income,4.76884217,5.52729E+13
2019,IBRD only,5.976116009,3.12506E+13
2019,IDA & IBRD total,5.717659516,3.36002E+13
2019,IDA blend,5.215077337,1.04264E+12
2019,IDA only,4.633049129,1.30846E+12
2019,IDA total,4.815375539,2.34878E+12
2019,Late-demographic dividend,5.184725858,2.3047E+13
2019,Latin America & Caribbean,7.983433653,5.61871E+12
2019,Latin America & Caribbean (excluding high income),8.137313927,4.77398E+12
2019,Latin America & the Caribbean (IDA & IBRD countries),8.099221036,5.36742E+12
2019,Least developed countries: UN classification,4.798019719,1.15304E+12
2019,Low & middle income,5.718280168,3.20798E+13
2019,Low income,5.032626812,5.0413E+11
2019,Lower middle income,5.496895438,7.90859E+12
2019,Middle East & North Africa,9.333695476,3.47205E+12
2019,Middle East & North Africa (excluding high income),10.9294683,1.39357E+12
2019,Middle East & North Africa (IDA & IBRD countries),10.77666523,1.37643E+12
2019,Middle income,5.774802909,3.15903E+13
2019,North America,3.889895294,2.31304E+13
2019,Not classified,..,..
2019,OECD members,5.385726354,5.38786E+13
2019,Other small states,9.057381033,4.33363E+11
2019,Pacific island small states,3.017993749,10736233419
2019,Post-demographic dividend,4.940931214,5.08793E+13
2019,Pre-demographic dividend,5.416747158,1.40112E+12
2019,Small states,8.328059829,5.21528E+11
2019,South Asia,6.197325205,3.65395E+12
2019,South Asia (IDA & IBRD),6.197325205,3.65395E+12
2019,Sub-Saharan Africa,6.066772179,1.80336E+12
2019,Sub-Saharan Africa (excluding high income),6.066772179,1.80168E+12
2019,Sub-Saharan Africa (IDA & IBRD countries),6.066772179,1.80336E+12
2019,Upper middle income,6.051081503,2.36817E+13
2019,World,5.543163701,8.76543E+13
2020,Afghanistan,11.71000004,20143442151
2020,Albania,13.06700039,15131866271
2020,Algeria,12.24800014,1.45009E+11
2020,American Samoa,..,716000000
2020,Andorra,..,2891022273
2020,Angola,10.35000038,53619073505
2020,Antigua and Barbuda,..,1370281481
2020,Argentina,11.46000004,3.8554E+11
2020,Armenia,12.18000031,12641697523
2020,Aruba,..,2610038938
2020,Australia,6.460000038,1.3269E+12
2020,Austria,5.360000134,4.35225E+11
2020,Azerbaijan,7.159999847,42693000000
2020,"Bahamas, The",12.86699963,9699500000
2020,Bahrain,1.674000025,34723357447
2020,Bangladesh,5.209000111,3.73902E+11
2020,Barbados,10.10499954,4671800000
2020,Belarus,4.050000191,61371126414
2020,Belgium,5.550000191,5.25212E+11
2020,Belize,10.78800011,2080000000
2020,Benin,1.671000004,15651545209
2020,Bermuda,..,6887147000
2020,Bhutan,5.03000021,2325184481
2020,Bolivia,7.900000095,36629843805
2020,Bosnia and Herzegovina,15.26500034,19950471171
2020,Botswana,21.02000046,14930072459
2020,Brazil,13.93000031,1.44856E+12
2020,British Virgin Islands,..,..
2020,Brunei Darussalam,7.409999847,12005825759
2020,Bulgaria,5.119999886,70240275010
2020,Burkina Faso,5.054999828,17933606353
2020,Burundi,1.029999971,2649671999
2020,Cabo Verde,14.87800026,1703698677
2020,Cambodia,0.298000008,25872798012
2020,Cameroon,3.947000027,40773241531
2020,Canada,9.460000038,1.64542E+12
2020,Cayman Islands,..,5608989200
2020,Central African Republic,6.380000114,2326720921
2020,Chad,1.644999981,10715396135
2020,Channel Islands,7.81099987,..
2020,Chile,11.14000034,2.52727E+11
2020,China,5,1.46877E+13
2020,Colombia,15.03999996,2.703E+11
2020,Comoros,9.031999588,1225039231
2020,"Congo, Dem. Rep.",5.126999855,48716960860
2020,"Congo, Rep.",22.5170002,10483151176
2020,Costa Rica,16.43000031,62158002233
2020,Cote d'Ivoire,2.660000086,61348579465
2020,Croatia,7.510000229,57472012427
2020,Cuba,1.399999976,1.07352E+11
2020,Curacao,..,2496174749
2020,Cyprus,7.590000153,25008448886
2020,Czechia,2.549999952,2.45975E+11
2020,Denmark,5.639999866,3.55222E+11
2020,Djibouti,28.04800034,3181071154
2020,Dominica,..,504214814.8
2020,Dominican Republic,6.130000114,78844702329
2020,Ecuador,6.110000134,99291124000
2020,"Egypt, Arab Rep.",7.93900013,3.65253E+11
2020,El Salvador,5.019999981,24563020000
2020,Equatorial Guinea,9.295000076,10099158075
2020,Eritrea,7.28000021,..
2020,Estonia,6.960000038,31370395573
2020,Eswatini,25.07999992,3982226055
2020,Ethiopia,4.125999928,1.07658E+11
2020,Faroe Islands,..,3248696902
2020,Fiji,4.794000149,4477040340
2020,Finland,7.760000229,2.71892E+11
2020,France,8.010000229,2.63901E+12
2020,French Polynesia,13.67000008,5709421969
2020,Gabon,21.72599983,15314577168
2020,"Gambia, The",5.096000195,1812169484
2020,Georgia,11.72999954,15842922533
2020,Germany,3.859999895,3.88967E+12
2020,Ghana,3.773999929,70043199814
2020,Gibraltar,..,..
2020,Greece,16.30999947,1.88926E+11
2020,Greenland,..,3076015347
2020,Grenada,..,1043414815
2020,Guam,6.577000141,5886000000
2020,Guatemala,3.358999968,77625486978
2020,Guinea,5.945000172,14177835816
2020,Guinea-Bissau,3.605000019,1431758243
2020,Guyana,15.58899975,5471256595
2020,Haiti,15.08500004,14508218017
2020,Honduras,10.68000031,23827840810
2020,"Hong Kong SAR, China",5.809999943,3.44932E+11
2020,Hungary,4.25,1.57182E+11
2020,Iceland,5.480000019,21694674810
2020,India,10.19499969,2.66769E+12
2020,Indonesia,4.25,1.05869E+12
2020,"Iran, Islamic Rep.",9.68999958,2.39736E+11
2020,Iraq,16.22999954,1.8437E+11
2020,Ireland,5.619999886,4.25852E+11
2020,Isle of Man,..,..
2020,Israel,4.329999924,4.13268E+11
2020,Italy,9.159999847,1.89676E+12
2020,Jamaica,6.5,13812425037
2020,Japan,2.799999952,5.04011E+12
2020,Jordan,19.20999908,44182298292
2020,Kazakhstan,4.889999866,1.71082E+11
2020,Kenya,5.616000175,1.00667E+11
2020,Kiribati,..,180911843.6
2020,"Korea, Dem. People's Rep.",3.063999891,..
2020,"Korea, Rep.",3.930000067,1.64431E+12
2020,Kosovo,..,7716925356
2020,Kuwait,3.33100009,1.0596E+11
2020,Kyrgyz Republic,4.630000114,7780874537
2020,Lao PDR,3.575999975,18981800705
2020,Latvia,8.100000381,34601740323
2020,Lebanon,12.97099972,31712128254
2020,Lesotho,18.46100044,2231214507
2020,Liberia,3.842000008,3039982500
2020,Libya,20.34300041,50357312595
2020,Liechtenstein,..,6113951012
2020,Lithuania,8.489999771,56846622904
2020,Luxembourg,6.769999981,73992591285
2020,"Macao SAR, China",2.569999933,25459563655
2020,Madagascar,2.362999916,13051441059
2020,Malawi,5.681000233,12182348213
2020,Malaysia,4.539999962,3.37338E+11
2020,Maldives,5.340000153,3746321936
2020,Mali,3.529999971,17465392916
2020,Malta,4.349999905,14933066819
2020,Marshall Islands,..,241722400
2020,Mauritania,11.13700008,8405491202
2020,Mauritius,8.630000114,11401050655
2020,Mexico,4.449999809,1.09052E+12
2020,"Micronesia, Fed. Sts.",..,408000000
2020,Moldova,3.819999933,11859730544
2020,Monaco,..,6739691605
2020,Mongolia,6.590000153,13312981595
2020,Montenegro,17.87999916,4769860741
2020,Morocco,11.11400032,1.21348E+11
2020,Mozambique,3.776000023,14028811072
2020,Myanmar,1.480000019,78930257227
2020,Namibia,21.23600006,10581585630
2020,Nauru,..,114626625.6
2020,Nepal,13.07800007,33433670512
2020,Netherlands,3.819999933,9.09793E+11
2020,New Caledonia,13.56000042,9435529927
2020,New Zealand,4.599999905,2.11735E+11
2020,Nicaragua,5.936999798,12586970511
2020,Niger,0.680000007,13744174690
